timestamp,request_id,agent_name,model,base_url,success,prompt_tokens,completion_tokens,total_tokens,cost,duration_ms,retries,error_message
2026-04-16T20:49:06.112923,20260416204906112958,theory_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1103.6217212677002,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""34f1f137-534e-9ee8-8315-0407cc4a0604""}"
2026-04-16T20:49:06.120851,20260416204906120887,theory_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1105.7169437408447,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""b403b3dc-ed77-9c60-b7c4-25c947f26295""}"
2026-04-16T20:49:06.122320,20260416204906122344,theory_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1106.062412261963,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""c558c556-c4c6-9173-803c-4c6186ef708b""}"
2026-04-16T20:49:07.157919,20260416204907157948,theory_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1043.5919761657715,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""30250ba1-2b5c-9747-9fe7-c842265edf74""}"
2026-04-16T20:49:08.237286,20260416204908237307,tech_stack_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1076.1075019836426,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""0cbe7d5f-cd5e-9850-8bd5-4aafd800ebfa""}"
2026-04-16T20:49:08.238703,20260416204908238723,tech_stack_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1069.6775913238525,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""e2d10b1e-a296-9113-b147-8102577f91fc""}"
2026-04-16T20:49:08.241678,20260416204908241724,tech_stack_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1071.471929550171,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""93bfbd25-8951-9b75-90d7-88d68ef68888""}"
2026-04-16T20:49:09.317276,20260416204909317300,core_skill_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1063.4958744049072,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""a6eca05f-2cb0-9402-8af2-fc9a3198e4a9""}"
2026-04-16T20:49:09.321365,20260416204909321381,core_skill_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1076.5891075134277,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""e8ded0d0-753f-9443-b23f-8ae8d8d9b28c""}"
2026-04-16T20:49:09.323896,20260416204909323913,core_skill_worker,qwen3.5-plus,https://coding.dashscope.aliyuncs.com/v1,False,0,0,0,0,1071.181058883667,2,"HTTP Error 401: {""error"":{""code"":""invalid_api_key"",""message"":""invalid access token or token expired"",""param"":null,""type"":""invalid_request_error""},""request_id"":""7e6f51bf-4520-9b43-ad54-243b523c276b""}"
